num_languages,num_words,hidden_size,train_frac,init_scale,seed,test_loss,train_loss
10,32,32,0.361,0.0001,2,1.526165e-09,2.7406274e-10
10,32,32,0.371,0.0001,2,1.5504578e-10,2.9435863e-11
10,32,32,0.381,0.0001,2,1.4130633e-10,2.687497e-11
10,32,32,0.391,0.0001,2,8.150733e-10,1.3354196e-10
10,32,32,0.401,0.0001,2,1.9342099e-10,3.441647e-11
10,32,32,0.411,0.0001,2,2.1967292e-06,3.670446e-07
10,32,32,0.421,0.0001,2,1.4792428e-10,2.6293549e-11
10,32,32,0.431,0.0001,2,1.1709962e-10,2.285345e-11
10,32,32,0.441,0.0001,2,8.429733e-11,1.650946e-11
10,32,32,0.451,0.0001,2,8.22169e-11,1.6478591e-11
